,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
25,,,,,,,,,,,,,,,,,,
26,0.573,0.746,10,-6.272,0,0.0392,0.00246,2.61e-05,0.103,0.471,139.949,audio_features,1wPd8pG0VVlffxSuJEV8ko,spotify:track:1wPd8pG0VVlffxSuJEV8ko,https://api.spotify.com/v1/tracks/1wPd8pG0VVlffxSuJEV8ko,https://api.spotify.com/v1/audio-analysis/1wPd8pG0VVlffxSuJEV8ko,180010,4
27,,,,,,,,,,,,,,,,,,
28,0.813,0.595,1,-8.471,1,0.0475,0.0148,0.000164,0.1,0.359,140.066,audio_features,28J9JZ6boWgzviW7Ut3TMN,spotify:track:28J9JZ6boWgzviW7Ut3TMN,https://api.spotify.com/v1/tracks/28J9JZ6boWgzviW7Ut3TMN,https://api.spotify.com/v1/audio-analysis/28J9JZ6boWgzviW7Ut3TMN,180000,4
29,0.357,0.262,10,-12.828,1,0.0375,0.842,0.00794,0.142,0.0804,179.091,audio_features,5vFiuwlEfEcEwPvS5e1icS,spotify:track:5vFiuwlEfEcEwPvS5e1icS,https://api.spotify.com/v1/tracks/5vFiuwlEfEcEwPvS5e1icS,https://api.spotify.com/v1/audio-analysis/5vFiuwlEfEcEwPvS5e1icS,179500,4
30,,,,,,,,,,,,,,,,,,
31,0.232,0.597,2,-8.256,0,0.0413,0.495,1.58e-06,0.269,0.262,93.903,audio_features,32GxSibwrYAGW4ZZ45CGHA,spotify:track:32GxSibwrYAGW4ZZ45CGHA,https://api.spotify.com/v1/tracks/32GxSibwrYAGW4ZZ45CGHA,https://api.spotify.com/v1/audio-analysis/32GxSibwrYAGW4ZZ45CGHA,184884,4
32,0.761,0.78,5,-9.519,0,0.05,0.119,3.62e-06,0.0575,0.901,104.019,audio_features,4ixnY07lxMziatNqonUB8d,spotify:track:4ixnY07lxMziatNqonUB8d,https://api.spotify.com/v1/tracks/4ixnY07lxMziatNqonUB8d,https://api.spotify.com/v1/audio-analysis/4ixnY07lxMziatNqonUB8d,180879,4
33,0.503,0.314,10,-10.411,1,0.0361,0.843,8.34e-06,0.275,0.0967,120.422,audio_features,6PV9CN9a7wHYPQvlXqkWwM,spotify:track:6PV9CN9a7wHYPQvlXqkWwM,https://api.spotify.com/v1/tracks/6PV9CN9a7wHYPQvlXqkWwM,https://api.spotify.com/v1/audio-analysis/6PV9CN9a7wHYPQvlXqkWwM,158417,4
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
